module	width	recipe	class	source_sha256
mul16_mac_fused_fast_shared_ctrl_wallace_brentkung_xormaj_classic	16	classic	control	821a89908c40da358b6572b6615fb8d3e1fd7b96e7a85f502e0ed50578a8b87d
mul16_mac_fused_fast_shared_ctrl_wallace_hancarlson_mux_default	16	default	control	d1caa67135fd7ee269802b5d5bb347eb4b34415b79e05e84018222c15581e487
mul16_mac_fused_fast_shared_ctrl_wallace_hancarlson_mux_classic	16	classic	control	d1caa67135fd7ee269802b5d5bb347eb4b34415b79e05e84018222c15581e487
mul16_mac_fused_fast_shared_ctrl_wallace_hancarlson_xormaj_default	16	default	control	47f474f9848abf2f4bd56e176f977e9508c0a03bad570fb31d196001b81311f1
mul16_mac_fused_fast_shared_ctrl_wallace_hancarlson_xormaj_classic	16	classic	control	47f474f9848abf2f4bd56e176f977e9508c0a03bad570fb31d196001b81311f1
mul16_mac_fused_fast_shared_ctrl_wallace_koggestone_mux_default	16	default	control	aa4e50ce302e6b2fc9ef416c42e9cebb62a403fbf2e07bbb9471d00976edddab
mul16_mac_fused_fast_shared_ctrl_wallace_koggestone_mux_classic	16	classic	control	aa4e50ce302e6b2fc9ef416c42e9cebb62a403fbf2e07bbb9471d00976edddab
mul16_mac_fused_fast_shared_ctrl_wallace_koggestone_xormaj_default	16	default	control	0ff9ca6cec86a7373e2cc3f4ab48cc6f86aaf0c9c9d8a1e2baad9f4ae2703cf8
mul16_mac_fused_fast_shared_ctrl_wallace_koggestone_xormaj_classic	16	classic	control	0ff9ca6cec86a7373e2cc3f4ab48cc6f86aaf0c9c9d8a1e2baad9f4ae2703cf8
mul16_mac_fused_fast_shared_ctrl_wallace_ripple_mux_default	16	default	control	12b7d575feb2b5d439768ceb892e35d076fd7b8f86eff73719e227b3a7510340
mul16_mac_fused_fast_shared_ctrl_wallace_ripple_mux_classic	16	classic	control	12b7d575feb2b5d439768ceb892e35d076fd7b8f86eff73719e227b3a7510340
mul16_mac_fused_fast_shared_ctrl_wallace_ripple_xormaj_default	16	default	control	d9f5880ea96c4f93f3f87e1105d99dedaf8da10f632017366433a25814c67f35
mul16_mac_fused_fast_shared_ctrl_wallace_ripple_xormaj_classic	16	classic	control	d9f5880ea96c4f93f3f87e1105d99dedaf8da10f632017366433a25814c67f35
mul16_mac_fused_fast_shared_ctrl_wallace_sklansky_mux_default	16	default	control	c8f9c9cc105ed13d3c2de54919f5909ff8e622682f9999b21fcd23aebb30ad59
mul16_mac_fused_fast_shared_ctrl_wallace_sklansky_mux_classic	16	classic	control	c8f9c9cc105ed13d3c2de54919f5909ff8e622682f9999b21fcd23aebb30ad59
mul16_mac_fused_fast_shared_ctrl_wallace_sklansky_xormaj_default	16	default	control	640877965d8b3b4db44bb06590dc4ae0bfbf02919e77267267f83a12e88cb7a6
mul16_mac_fused_fast_shared_ctrl_wallace_sklansky_xormaj_classic	16	classic	control	640877965d8b3b4db44bb06590dc4ae0bfbf02919e77267267f83a12e88cb7a6
mac16_requant_behavioral_default	16	default	behavioral	5f45d135c81d0e5fab52cd7004c44571347fa040b96c00e4edcb016f64ec8ed2
mac16_requant_behavioral_classic	16	classic	behavioral	5f45d135c81d0e5fab52cd7004c44571347fa040b96c00e4edcb016f64ec8ed2
mul16_mac_requant_evo608_default	16	default	candidate	8a97065d16159ba1e5abb9368da647dbe9a807e3ab663d9f3f67026a8ab77204
mul16_mac_requant_evo608_classic	16	classic	candidate	8a97065d16159ba1e5abb9368da647dbe9a807e3ab663d9f3f67026a8ab77204
mul16_mac_requant_evo608_norules_default	16	default	ablation	e808e0140850afb15cb7723b66fb604c4eb189fab1abfb901aa63d68675bfe3f
mul16_mac_requant_evo608_norules_classic	16	classic	ablation	e808e0140850afb15cb7723b66fb604c4eb189fab1abfb901aa63d68675bfe3f
